time/s	Ewe/V	<I>/mA	cycle number	
4.795099878865585E+000	-4.7574407E-001	-3.197710948439685E-003	1.000000000000000E+000
4.825899878087512E+000	-4.7264433E-001	-2.918112536438700E-003	1.000000000000000E+000
4.856799877306912E+000	-4.6956509E-001	-2.500482442167828E-003	1.000000000000000E+000
4.887599876528839E+000	-4.6647185E-001	-2.382516955285983E-003	1.000000000000000E+000
4.918399875750765E+000	-4.6343413E-001	-2.110491094481210E-003	1.000000000000000E+000
4.949199874972692E+000	-4.6031663E-001	-1.944236722516417E-003	1.000000000000000E+000
4.979999874194618E+000	-4.5722425E-001	-1.643915838920523E-003	1.000000000000000E+000
5.010799873416545E+000	-4.5416614E-001	-1.455052758524105E-003	1.000000000000000E+000
5.041599872638471E+000	-4.5109040E-001	-1.409341824603438E-003	1.000000000000000E+000
5.072399871860398E+000	-4.4800910E-001	-1.104878132957741E-003	1.000000000000000E+000
5.103199871082325E+000	-4.4489425E-001	-1.076476645683049E-003	1.000000000000000E+000
5.133999870304251E+000	-4.4190648E-001	-7.905160836401727E-004	1.000000000000000E+000
5.164799869526178E+000	-4.3878618E-001	-8.162547695328001E-004	1.000000000000000E+000
5.195599868748104E+000	-4.3566725E-001	-5.677302885966021E-004	1.000000000000000E+000
5.226399867970031E+000	-4.3266940E-001	-5.496183223119753E-004	1.000000000000000E+000
5.257199867191957E+000	-4.2949679E-001	-3.815660747339134E-004	1.000000000000000E+000
5.287999866413884E+000	-4.2651808E-001	-3.596737387400115E-004	1.000000000000000E+000
5.318799865635810E+000	-4.2340207E-001	-2.255149416974197E-004	1.000000000000000E+000
5.349599864857737E+000	-4.2029172E-001	-1.310590436214635E-004	1.000000000000000E+000
5.380499864077137E+000	-4.1722369E-001	-1.555993711604003E-004	1.000000000000000E+000
5.411299863299064E+000	-4.1416425E-001	3.017388519743113E-005	1.000000000000000E+000
5.442099862520990E+000	-4.1108140E-001	-1.298396183630534E-005	1.000000000000000E+000
5.472899861742917E+000	-4.0798035E-001	1.763340897760176E-004	1.000000000000000E+000
5.503699860964844E+000	-4.0487063E-001	9.618334231681146E-005	1.000000000000000E+000
5.534499860186770E+000	-4.0183082E-001	3.338140131621753E-004	1.000000000000000E+000
5.565299859408697E+000	-3.9874223E-001	2.370561947492296E-004	1.000000000000000E+000
