time/s	Ewe/V	<I>/mA	cycle number	
2.727699931092502E+000	2.2882293E-001	-6.129637466743457E-003	1.000000000000000E+000
2.758499930314429E+000	2.2576161E-001	-6.535602861693274E-003	1.000000000000000E+000
2.789299929536355E+000	2.2267494E-001	-6.230131978879047E-003	1.000000000000000E+000
2.820099928758282E+000	2.1965103E-001	-6.648273454584908E-003	1.000000000000000E+000
2.850899927980208E+000	2.1653615E-001	-6.428461940040802E-003	1.000000000000000E+000
2.881699927202135E+000	2.1345174E-001	-6.738973890179606E-003	1.000000000000000E+000
2.912499926424061E+000	2.1037145E-001	-6.670447531504279E-003	1.000000000000000E+000
2.943299925645988E+000	2.0722005E-001	-6.861540842541702E-003	1.000000000000000E+000
2.974099924867915E+000	2.0420639E-001	-6.869247933307815E-003	1.000000000000000E+000
3.004899924089841E+000	2.0109259E-001	-6.902275249772501E-003	1.000000000000000E+000
3.035699923311768E+000	1.9806118E-001	-7.090167878107678E-003	1.000000000000000E+000
3.066499922533694E+000	1.9495015E-001	-6.983364955435353E-003	1.000000000000000E+000
3.097399921753095E+000	1.9190882E-001	-7.375442263608561E-003	1.000000000000000E+000
3.128199920975021E+000	1.8879998E-001	-7.111800145836289E-003	1.000000000000000E+000
3.158999920196948E+000	1.8570703E-001	-7.560379784184845E-003	1.000000000000000E+000
3.189799919418874E+000	1.8265194E-001	-7.308270538224082E-003	1.000000000000000E+000
3.220599918640801E+000	1.7957550E-001	-7.645522495257503E-003	1.000000000000000E+000
3.251399917862727E+000	1.7650737E-001	-7.462777643619729E-003	1.000000000000000E+000
3.282199917084654E+000	1.7337306E-001	-7.728901637714947E-003	1.000000000000000E+000
3.312999916306580E+000	1.7032649E-001	-7.700328938772039E-003	1.000000000000000E+000
3.343799915528507E+000	1.6723500E-001	-7.821880956099064E-003	1.000000000000000E+000
3.374599914750434E+000	1.6415732E-001	-7.908453405255644E-003	1.000000000000000E+000
3.405399913972360E+000	1.6107410E-001	-7.885483068990198E-003	1.000000000000000E+000
3.436199913194287E+000	1.5796193E-001	-8.208707706857193E-003	1.000000000000000E+000
3.466999912416213E+000	1.5485936E-001	-7.925067039433870E-003	1.000000000000000E+000
3.497799911638140E+000	1.5179226E-001	-8.325670646297703E-003	1.000000000000000E+000
3.528599910860066E+000	1.4870533E-001	-8.047857421809308E-003	1.000000000000000E+000
3.559399910081993E+000	1.4559115E-001	-8.468200310119439E-003	1.000000000000000E+000
3.590199909303919E+000	1.4254472E-001	-8.263220033749605E-003	1.000000000000000E+000
3.621099908523320E+000	1.3949299E-001	-8.592971460756133E-003	1.000000000000000E+000
3.651899907745246E+000	1.3642690E-001	-8.486556132398987E-003	1.000000000000000E+000
3.682699906967173E+000	1.3334686E-001	-8.728431675968151E-003	1.000000000000000E+000
3.713499906189099E+000	1.3028994E-001	-8.700727344386983E-003	1.000000000000000E+000
3.744299905411026E+000	1.2713189E-001	-8.769211383071749E-003	1.000000000000000E+000
3.775099904632953E+000	1.2406297E-001	-8.949842558059112E-003	1.000000000000000E+000
3.805899903854879E+000	1.2094855E-001	-8.835657878050490E-003	1.000000000000000E+000
3.836699903076806E+000	1.1792053E-001	-9.181444407376713E-003	1.000000000000000E+000
3.867499902298732E+000	1.1489771E-001	-8.932117811462331E-003	1.000000000000000E+000
3.898299901520659E+000	1.1173046E-001	-9.408762845559346E-003	1.000000000000000E+000
3.929099900742585E+000	1.0872522E-001	-9.125553119641354E-003	1.000000000000000E+000
3.959899899964512E+000	1.0562054E-001	-9.465983805156564E-003	1.000000000000000E+000
3.990699899186438E+000	1.0255039E-001	-9.278529389053790E-003	1.000000000000000E+000
4.021499898408365E+000	9.9464320E-002	-9.565602784547059E-003	1.000000000000000E+000
4.052299897630292E+000	9.6381538E-002	-9.463153109266154E-003	1.000000000000000E+000
4.083099896852218E+000	9.3323179E-002	-9.663105588292059E-003	1.000000000000000E+000
4.113899896074145E+000	9.0264075E-002	-9.719515003549686E-003	1.000000000000000E+000
4.144699895296071E+000	8.7128244E-002	-9.748863604832958E-003	1.000000000000000E+000
4.190899894128961E+000	8.2566775E-002	-9.778591416200189E-003	1.000000000000000E+000
4.237099892961851E+000	7.7927664E-002	-9.563868639644049E-003	1.000000000000000E+000
4.267899892183777E+000	7.4847080E-002	-9.442518153080059E-003	1.000000000000000E+000
4.298699891405704E+000	7.1681879E-002	-9.657100068497668E-003	1.000000000000000E+000
4.329499890627631E+000	6.8657838E-002	-9.599549717041658E-003	1.000000000000000E+000
4.360299889849557E+000	6.5565042E-002	-9.778497236663491E-003	1.000000000000000E+000
4.391099889071484E+000	6.2519446E-002	-9.795762464137395E-003	1.000000000000000E+000
4.421899888293410E+000	5.9441060E-002	-9.923154530889548E-003	1.000000000000000E+000
4.452699887515337E+000	5.6400888E-002	-9.893274358911019E-003	1.000000000000000E+000
4.483599886734737E+000	5.3305387E-002	-1.007125104745460E-002	1.000000000000000E+000
4.514399885956664E+000	5.0231371E-002	-1.015560309717541E-002	1.000000000000000E+000
4.545199885178590E+000	4.7092032E-002	-1.009260684590849E-002	1.000000000000000E+000
4.575999884400517E+000	4.4014979E-002	-1.032944589502414E-002	1.000000000000000E+000
4.606799883622443E+000	4.0930040E-002	-1.024955168546174E-002	1.000000000000000E+000
4.637599882844370E+000	3.7828371E-002	-1.050643283794500E-002	1.000000000000000E+000
4.668399882066296E+000	3.4809031E-002	-1.041170137585620E-002	1.000000000000000E+000
4.699199881288223E+000	3.1711027E-002	-1.059548743503017E-002	1.000000000000000E+000
4.729999880510150E+000	2.8621322E-002	-1.059745767458514E-002	1.000000000000000E+000
4.760799879732076E+000	2.5604671E-002	-1.079815729776343E-002	1.000000000000000E+000
4.791599878954003E+000	2.2493605E-002	-1.078902590958650E-002	1.000000000000000E+000
4.822399878175929E+000	1.9412054E-002	-1.088803034833985E-002	1.000000000000000E+000
4.853199877397856E+000	1.6335135E-002	-1.095295876993555E-002	1.000000000000000E+000
4.883999876619782E+000	1.3184811E-002	-1.104188454325369E-002	1.000000000000000E+000
4.914799875841709E+000	1.0121713E-002	-1.115803749106636E-002	1.000000000000000E+000
4.945599875063635E+000	7.0730643E-003	-1.105422057209834E-002	1.000000000000000E+000
4.976399874285562E+000	3.9795549E-003	-1.134372814274634E-002	1.000000000000000E+000
5.007299873504962E+000	9.2398474E-004	-1.122078293719580E-002	1.000000000000000E+000
